country,description,points,price,province,region_1,taster_name,title,variety
Italy,"This easy expression of Sangiovese from the Orcia area of southern Tuscany delivers a clean nose and an easy mouthfeel. The wine is supple and compact with fresh notes of red cherry, anise, root beer and some toasted nut on the close.",85,25.0,Tuscany,Orcia,,Poggio al Vento 2006 Orcia Sangiovese (Orcia),Sangiovese
France,There is a touch of minerality in this wine as well as a dry edge and ripe red-fruit flavors that are already attractive. It should be aged at least three years.,88,,Burgundy,Beaune,Roger Voss,Albert Bichot 2010 Clos de l'Ermitage  (Beaune),Pinot Noir
US,"This is a unique, oak-aged Finger Lakes ice wine made by Long Island winemaker, Anthony Nappa. Fermented spontaneously and intentionally oxidized, it juxtaposes silken caramel with sea salt and bitters. It's a fascinatingly funky wine worthy of some contemplative sipping.",87,50.0,New York,Finger Lakes,Anna Lee C. Iijima,Anthony Nappa 2013 Leonardo Riesling (Finger Lakes),Riesling
Italy,"Aromas of ripe black fruit, tilled earth and grilled herb unfold in the glass. The straightforward, already accessible palate delivers sour cherry, licorice and white pepper accompanied by rather firm tannins. Drink through 2018.",89,40.0,Piedmont,Barolo,Kerin O’Keefe,CarlindePaolo 2011  Barolo,Nebbiolo
US,"Clean apple fruit with some yellow plum as well, this carries a whisper of citrus. It's a sleek elegant wine, that won't overpower you, nor obscure the flavors of more delicate foods such as prawns or whitefish.",90,36.0,Oregon,Willamette Valley,Paul Gregutt,Trisaetum 2015 Chardonnay (Willamette Valley),Chardonnay
Italy,"Scurati is a balanced and firm wine with a bright, almost crunchy quality to the fruit and easy notes of leather and spice on the close. Pair it with barbecued grilled sausages or hamburgers.",87,19.0,Sicily & Sardinia,Sicilia,,Ceuso 2008 Scurati Nero d'Avola (Sicilia),Nero d'Avola
France,"A very soft wine that just hints at a crisp food character. Everything is there—the fruit, acidity and a tight texture—but the wine overall shows an indistinct, unfocused character.",84,45.0,Champagne,Champagne,Roger Voss,De Venoge NV Cordon Bleu Brut Sélect  (Champagne),Champagne Blend
France,"This very complete wine offers dark tannins, ripe berry fruits and a velvet texture. It's rich, relying on blackberry and black plum flavors and a dense structure. Mouth-filling, it delivers delicious fragrant acidity at the end. Drink from 2017.",90,65.0,Bordeaux,Saint-Émilion,Roger Voss,Château Laforge 2012  Saint-Émilion,Bordeaux-style Red Blend
Australia,"It's hard to believe such a wine can come from the Barossa, a region known for size and richness. But this is part of a new wave of Aussie Shiraz—medium in body and silky in style, with moderate alcohol levels. Healthy doses of oak impart notes of hickory smoke, cedar and vanilla to the plum fruit. Drink now–2025.",91,18.0,South Australia,Barossa,Joe Czerwinski,Maverick 2014 Breechens Shiraz (Barossa),Shiraz
US,"This is the first vintage made by the vineyard owners in 25 years, a welcome return for one of the founding families of Oregon viticulture. Strawberries and raspberries, tart and spicy, anchor an elegant and interesting young wine. The finish continues clean and well-defined. Don't look for a blockbuster style; rather it's more delicate and refined.",90,55.0,Oregon,Dundee Hills,Paul Gregutt,Knudsen 2012 Pinot Noir (Dundee Hills),Pinot Noir
US,"Dark, brooding and baked in character, this well-made wine is a study in red and black licorice tones, with juicy blue fruit at the core. Good grip and power find structure around a full body and leathery finish.",91,50.0,California,Mount Veeder,Virginie Boone,Trinchero 2012 Cloud's Nest Vineyard Malbec (Mount Veeder),Malbec
Portugal,"A richly ripe wine, full of tarry, dark tannins and black fruits. Despite its weight and density, it is well balanced, the dark flavors opening out with flavors of licorice, bitter chocolate and spicy wood.",90,12.0,Douro,,Roger Voss,J. & F. Lurton 2005 Barco Negro Red (Douro),Portuguese Red
US,"The winery's widely available Willamette Valley blend is forward, open and easy-drinking, with chocolaty cherry fruit. It's a style that should have wide appeal—smooth, toasty, with plenty of tasty chocolate highlights.",89,35.0,Oregon,Willamette Valley,Paul Gregutt,Rex Hill 2014 Pinot Noir (Willamette Valley),Pinot Noir
US,"Bright aromas of orange blossom, night jasmine and gardenia are juxtaposed by a more mineral-driven backbone of wet cement. It's fairly light on its feet, with touches of sweetness, but more sprightly in tone, with fresh acidity and grippy texture taking it far beyond your grandma's Orange Muscat.",88,16.0,California,Paso Robles,Matt Kettmann,Robert Hall 2016 Margaret's Vineyard Orange Muscat (Paso Robles),Orange Muscat
France,"Tight acidity, cherry flavors and a hint of banana give this wine a light and fruity character. It has probably too much acidity for its own good, making it too crisp, missing out on richness.",84,,Beaujolais,Brouilly,Roger Voss,Georges Duboeuf 2014 Château de la Perrière  (Brouilly),Gamay
US,"This tart, sleek, pretty wine shows bright strawberry and raspberry fruit. Quite young and fresh, it's still rather tight and stubbornly closed, even after breathing for a full 24 hours.",89,60.0,Oregon,Eola-Amity Hills,Paul Gregutt,Cristom 2014 Eileen Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir
US,"This is a very rich and extracted Pinot, with explosive raspberry and cherry pie, licorice, spice and sandalwood flavors. The richness is reined in by brisk acidity and a jacket of scoury tannins. Drink by 2015 for freshness.",88,55.0,California,Russian River Valley,,Ten Acre 2010 Stephens Vineyard Pinot Noir (Russian River Valley),Pinot Noir
Italy,"This offers aromas of red berry, leafy underbrush and a whiff of chopped mint. The juicy palate delivers succulent black cherry, orange zest and ground pepper alongside sleek tannins.",89,25.0,Piedmont,Barbera d'Alba Superiore,Kerin O’Keefe,Mirafiore 2015  Barbera d'Alba Superiore,Barbera
US,"Pure and fruity, this medium-bodied wine is supersmooth in texture, quietly flavorful and well balanced. The light acidity and mild tannins are well integrated and support delicious black-cherry and blueberry flavors perfectly.",88,10.0,California,California,Jim Gordon,Fetzer 2015 Eagle Peak Merlot (California),Merlot
Serbia,"A blend of 60% Prokupac and 40% Cabernet Sauvignon this Serbian wine smells of red cherry and blackberry. It is full bodied, while tasting of black cherry and blackberry. The finish is fruit filled with a touch of leather.",89,40.0,Župa,,Jeff Jenssen,Budimir 2009 Sub Rosa Red (Župa),Red Blend
US,"This is a blend of Sauvignon Blanc, Pinot Grigio, Gewürztraminer and Semillon. It's nicely crisp in acids, with sweet, jammy pineapple, apricot, peach, vanilla and cinnamon spice flavors. Good with Asian fare, or with fresh fruit.",85,15.0,California,High Valley,,Brassfield 2007 Serenity White (High Valley),White Blend
US,"Made in the popular modern style, this is a particular success. It shows ultraconcentrated orange, apricot, green apple and peach flavors that are wrapped into a creamy texture, and a strong coating of oak brings layers of butterscotch, buttered toast and vanilla. This richness would be excessive without the minerality and acidity that Sonoma Mountain brings. Don't drink this too cold.",94,100.0,California,Sonoma Mountain,,Paul Hobbs 2010 Richard Dinner Vineyard Cuvée Agustina Chardonnay (Sonoma Mountain),Chardonnay
US,"Full bodied, very flavorful and well balanced, this wine offers concentrated plummy aromas that lead to dense, ripe blackberry and strawberry flavors. Along with the tangy, lightly tannic mouthfeel and lingering finish, it keeps bringing on delicious fruit notes.",90,,California,Livermore Valley,Jim Gordon,Page Mill Winery 2012 GPS Red (Livermore Valley),Rhône-style Red Blend
Italy,"This opens with aromas of tropical fruit, citrus and beeswax. The vibrant palate delivers grapefruit, lemon zest, rosemary and mint alongside lively acidity.",88,15.0,Southern Italy,Irpinia,Kerin O’Keefe,Tenuta Cavalier Pepe 2015 Lila Falanghina (Irpinia),Falanghina
US,"A country-style red wine, made from indeterminate varieties. It's tough and stringy in the mouth, with earthy berry and tobacco flavors.",84,13.0,California,Napa Valley,,Courtney Benham NV Lucca Red (Napa Valley),Red Blend
US,"This pleasant and straightforward Chardonnay comes in a hock bottle for no apparent reason. It's accented with pine needle aromas and flavors of resin and crisp apple. Forward and fruity, the time in barrel seems to have mostly just rounded it off, without adding noticeable flavors.",87,25.0,Oregon,Willamette Valley,Paul Gregutt,Noble Estate 2014 Oak Select Chardonnay (Willamette Valley),Chardonnay
US,"Here's a Cabernet to lay down in the cellar for 6–8 years—or even longer. Two things mark it: the extremely ripe, concentrated blackberry and black currant fruit, and the hefty tannins. Most people will probably open it too soon and miss out on what it could be, when the tannins drop out to reveal its sweet fruity essence.",91,65.0,California,Mount Veeder,,Y Rousseau 2009 Le Roi Soleil Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon
US,"Rich and concentrated, this Syrah is aged in French oak, and it offers flavors of bacon, smoky oak, tar and leather. It's big and expressive, and it could use some time to open. Pair it with smoky meats that are big in flavor.",87,40.0,California,Livermore Valley,Virginie Boone,Nottingham Cellars 2010 Micro-Lot Reserve Hayes Ranch Syrah (Livermore Valley),Syrah
US,"Numerous sites in the Horse Heaven Hills didn't produce fruit in 2011 due a late 2010 freeze. This wine bears witness to the glory of the vines that survived unscathed with its notes of huckleberry, dark coffee and smoked meat. The flavors are silky soft and glide along to a lingering, chocolate-filled finish.",92,30.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Columbia Crest 2011 Reserve Coyote Canyon Vineyard Syrah (Horse Heaven Hills),Syrah
France,"Vines on the slope of the Brouilly hill give a firmly structured wine. It is has a fine sense of balance between the tannins and the bright black-cherry fruits. Rich and crisp with acidity, it is going to be a wine that brings out so much fruitiness as it matures. Drink from late 2017.",89,22.0,Beaujolais,Côte de Brouilly,Roger Voss,Emmanuel Fellot 2014 Les Cailloux  (Côte de Brouilly),Gamay
US,"Crisp and penetrating, with great fruit purity, the wine's core bears cassis and black cherry flavors. The tannins are supple, even silky, and the finish is smooth, with dark accents.",90,75.0,Washington,Red Mountain,Paul Gregutt,Rasa 2009 Plus One Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon
France,"This wine is missing great depth of flavor. It has bright acidity and hints of peach fruit flavors, but remains dull.",84,29.0,Burgundy,Pouilly-Fuissé,Roger Voss,Joseph Drouhin 2012  Pouilly-Fuissé,Chardonnay
US,"There's an exotic perfumey-ness to this wine that almost suggests patchouli, so relaxed and complex it is. Medium-bodied with an inviting layering of black cherry and stemmy earthiness, it's curiously riddled in white pepper as it finishes.",91,55.0,California,Green Valley,Virginie Boone,Martin Ray 2014 Dark Star Hill Pinot Noir (Green Valley),Pinot Noir
France,"Very much a food wine, this has a strong tannic element as well as red-plum flavors. It is rich, dry and full bodied showing a touch of pepper at the end.",86,12.0,Bordeaux,Bordeaux Clairet,Roger Voss,Château de Marsan 2015 Red (Bordeaux Clairet),Bordeaux-style Red Blend
Italy,"This opens with subdued black-skinned fruit and baking spice aromas. The palate is straightforward and easygoing, with black cherry, tilled soil and leather alongside flavors supported by firm tannins. Enjoy through 2021.",87,40.0,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Bonacchi 2012 Casalino  (Brunello di Montalcino),Sangiovese
US,"Hot gravel and blackberry fruit combine for straightforward, light-on-the-feet aromas on this bottling from a small estate near Happy Canyon. Cherry and blackberry pie flavors show on the palate, with tart, fresh berries framed by a buttery crust.",91,34.0,California,Santa Ynez Valley,Matt Kettmann,Baehner Fournier 2012 Solus Estate Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon
